movie_id,budget,prod_company
49538,160000000,Ingenious Film Partners
131634,160000000,Studio Babelsberg
27022,150000000,Walt Disney Pictures
503,160000000,Virtual Studios
241259,170000000,Walt Disney Pictures
810,160000000,DreamWorks SKG
68735,160000000,Universal Pictures
87101,155000000,Paramount Pictures
10140,155000000,Dune Entertainment
676,140000000,Jerry Bruckheimer Films
1858,150000000,Paramount Pictures
1966,155000000,France 3 Cin\u00e9ma
675,150000000,Warner Bros.
674,150000000,Patalex IV Productions Limited
8960,150000000,Columbia Pictures
6479,150000000,Village Roadshow Pictures
118,150000000,Village Roadshow Pictures
2062,150000000,Walt Disney Pictures
272,150000000,DC Comics
10527,150000000,DreamWorks Animation
18360,150000000,Twentieth Century Fox Film Corporation
2080,150000000,Ingenious Film Partners
605,150000000,Village Roadshow Pictures
109445,150000000,Walt Disney Pictures
604,150000000,Village Roadshow Pictures
76338,170000000,Marvel Studios
76341,150000000,Village Roadshow Pictures
13448,150000000,Columbia Pictures
10195,150000000,Marvel Studios
13053,150000000,Walt Disney Animation Studios
19585,150000000,Walt Disney Pictures
57165,150000000,Legendary Pictures
62213,150000000,Village Roadshow Pictures
177677,150000000,Paramount Pictures
7978,150000000,Universal Pictures
5559,150000000,Pacific Data Images (PDI)
49444,150000000,DreamWorks Animation
10196,150000000,Paramount Pictures
956,150000000,Paramount Pictures
117251,150000000,Columbia Pictures
50321,150000000,Walt Disney Animation Studios
11619,149000000,Aardman Animations
266647,150000000,Warner Bros.
82703,145000000,Pacific Data Images (PDI)
652,175000000,Plan B Entertainment
80321,145000000,DreamWorks Animation
36669,140000000,Eon Productions
43074,144000000,Columbia Pictures
95,140000000,Jerry Bruckheimer Films
608,140000000,Columbia Pictures
2310,70000000,Paramount Pictures
140300,145000000,Twentieth Century Fox Film Corporation
56292,145000000,Paramount Pictures
81188,145000000,DreamWorks Animation
7552,100000000,Imagine Entertainment
616,140000000,Cruise/Wagner Productions
147441,140000000,Scott Free Productions
13475,150000000,Paramount Pictures
557,139000000,Columbia Pictures
82702,145000000,DreamWorks Animation
205584,140000000,Summit Entertainment
10048,135000000,Laura Ziskin Productions
13183,130000000,Paramount Pictures
944,140000000,Silver Pictures
1927,137000000,Universal Pictures
72559,130000000,Paramount Pictures
7364,130000000,Paramount Pictures
2114,137000000,Columbia Pictures
1771,140000000,Marvel Studios
36643,135000000,Eon Productions
8619,150000000,Universal Pictures
50620,120000000,Summit Entertainment
65759,130000000,Village Roadshow Pictures
1724,150000000,Universal Pictures
267935,140000000,Walt Disney Pictures
281957,135000000,Regency Enterprises
77950,135000000,DreamWorks Animation
44896,135000000,Paramount Pictures
270946,132000000,DreamWorks Animation
2503,70000000,Universal Pictures
9502,130000000,DreamWorks Animation
102899,130000000,Marvel Studios
101299,130000000,Lionsgate
228161,135000000,Twentieth Century Fox Film Corporation
74,132000000,Paramount Pictures
8961,130000000,Columbia Pictures Corporation
417859,130000000,DreamWorks
27576,110000000,Columbia Pictures
86834,125000000,Paramount Pictures
17578,130000000,Paramount Pictures
673,130000000,1492 Pictures
6972,130000000,Bazmark Films
82700,130000000,Columbia Pictures
10567,127500000,Walt Disney Pictures
181533,127000000,Twentieth Century Fox Film Corporation
38055,130000000,DreamWorks Animation
671,125000000,1492 Pictures
49524,130000000,Universal Pictures
22,140000000,Walt Disney Pictures
131631,125000000,Lionsgate
591,125000000,Columbia Pictures
172385,103000000,Blue Sky Studios
36658,110000000,Twentieth Century Fox Film Corporation
51497,125000000,Universal Pictures
58574,125000000,Village Roadshow Pictures
18823,125000000,The Zanuck Company
861,65000000,TriStar Pictures
1911,160000000,Touchstone Pictures
49040,130000000,Universal Pictures
415,125000000,PolyGram Filmed Entertainment
8871,123000000,Imagine Entertainment
435,125000000,Lions Gate Films
955,125000000,Paramount Pictures
2133,120000000,Warner Bros.
1979,130000000,Ingenious Film Partners
87827,120000000,Ingenious Film Partners
1250,110000000,Columbia Pictures Corporation
324668,120000000,The Kennedy/Marshall Company
9471,120000000,Columbia Pictures
70981,130000000,Twentieth Century Fox Film Corporation
10996,120000000,Columbia Pictures
68724,115000000,TriStar Pictures
2789,105000000,One Race Films
97020,120000000,Columbia Pictures
7459,120000000,Village Roadshow Pictures
42888,120000000,Columbia Pictures
37834,117000000,Tree Line Films
75612,120000000,Universal Pictures
1895,113000000,Lucasfilm
1894,120000000,Lucasfilm
585,115000000,Walt Disney Pictures
76170,120000000,Twentieth Century Fox Film Corporation
1893,115000000,Lucasfilm
49519,135000000,DreamWorks Animation
2395,97250400,Constantin Film
12100,115000000,Lion Rock Productions
290595,115000000,Universal Pictures
98566,125000000,Paramount Pictures
49047,105000000,Warner Bros.
9619,116000000,Universal Pictures
308531,135000000,Paramount Pictures
166424,120000000,Twentieth Century Fox Film Corporation
1593,110000000,Ingenious Film Partners
254128,110000000,New Line Cinema
714,110000000,Eon Productions
2024,110000000,Centropolis Entertainment
163,110000000,Village Roadshow Pictures
787,110000000,Weed Road Pictures
262500,110000000,Summit Entertainment
2567,116000000,Miramax Films
38745,112000000,Twentieth Century Fox Film Corporation
40805,120000000,Original Film
53182,110000000,Legendary Pictures
41513,110000000,Columbia Pictures
13700,110000000,Walt Disney Pictures
262504,110000000,Summit Entertainment
39254,110000000,DreamWorks SKG
77931,105000000,Columbia Pictures
1639,160000000,Twentieth Century Fox Film Corporation
80274,110000000,Summit Entertainment
1571,110000000,Ingenious Film Partners
120,93000000,WingNut Films
10204,110000000,Studio Babelsberg
8489,107000000,Columbia Pictures Corporation
2048,120000000,Twentieth Century Fox Film Corporation
1495,130000000,Studio Babelsberg
10137,133000000,Columbia Pictures Corporation
10198,105000000,Walt Disney Pictures
286217,108000000,Twentieth Century Fox Film Corporation
1635,126000000,DreamWorks SKG
24113,90000000,New Line Cinema
9679,90000000,Jerry Bruckheimer Films
98,103000000,DreamWorks SKG
180,102000000,DreamWorks SKG
672,100000000,1492 Pictures
36557,150000000,Eon Productions
869,100000000,Twentieth Century Fox Film Corporation
280,100000000,Lightstorm Entertainment
11322,80000000,Universal Pictures
4982,100000000,Imagine Entertainment
36955,115000000,Twentieth Century Fox Film Corporation
18487,100000000,Columbia Pictures
39451,100000000,Paramount Pictures
27581,100000000,Columbia Pictures
9268,100000000,Kopelson Entertainment
68718,100000000,Columbia Pictures
10545,100000000,Walt Disney Pictures
11688,100000000,Walt Disney Pictures
76163,100000000,Nu Image Films
2059,100000000,Walt Disney Pictures
2486,100000000,Ingenious Film Partners
16523,100000000,Village Roadshow Pictures
116711,100000000,Blue Sky Studios
37710,100000000,Columbia Pictures
9946,100000000,Beacon Communications
1372,100000000,Bedford Falls Productions
106646,100000000,Paramount Pictures
414,100000000,Warner Bros.
563,105000000,TriStar Pictures
83542,102000000,Anarchos Productions
41216,80000000,Village Roadshow Pictures
314,100000000,Village Roadshow Pictures
184315,100000000,Paramount Pictures
9016,140000000,Walt Disney Pictures
18162,100000000,Universal Pictures
138103,90000000,Davis-Films
257088,105000000,Studio Babelsberg
10214,84000000,New Line Cinema
205775,100000000,Imagine Entertainment
11692,100000000,Village Roadshow Pictures
22972,100000000,Universal Pictures
227973,99000000,Blue Sky Studios
29193,10000000,Jean Doumanian Productions
1734,98000000,Universal Pictures
3131,100000000,Miramax Films
76758,94000000,Beijing New Picture Film Co. Ltd.
9408,85000000,Columbia Pictures
9890,90000000,Paramount Pictures
855,92000000,Jerry Bruckheimer Films
18,90000000,Columbia Pictures
37786,100000000,New Line Cinema
10501,95000000,DreamWorks SKG
57800,95000000,Blue Sky Studios
150689,95000000,Walt Disney Pictures
7980,65000000,WingNut Films
12,94000000,Pixar Animation Studios
122,94000000,WingNut Films
121,79000000,WingNut Films
68737,95000000,Legendary Pictures
1995,115000000,Paramount Pictures
157353,100000000,Alcon Entertainment
331,93000000,Universal Studios
61791,93000000,Ingenious Film Partners
8204,90000000,Paramount Pictures
47964,92000000,Ingenious Media
10733,145000000,Imagine Entertainment
9806,92000000,Walt Disney Pictures
1408,98000000,Le Studio Canal+
32657,95000000,Ingenious Film Partners
607,90000000,Amblin Entertainment
863,90000000,Pixar Animation Studios
44048,100000000,Twentieth Century Fox Film Corporation
5175,90000000,New Line Cinema
2655,100000000,DreamWorks SKG
22794,100000000,Columbia Pictures
8355,90000000,Blue Sky Studios
116745,90000000,New Line Cinema
4327,92000000,Columbia Pictures
1422,90000000,Vertigo Entertainment
10674,90000000,Walt Disney Pictures
7446,92000000,DreamWorks SKG
65754,90000000,Columbia Pictures
1572,90000000,Twentieth Century Fox Film Corporation
10528,90000000,Village Roadshow Pictures
271969,100000000,Paramount Pictures
10865,120000000,Walt Disney Pictures
2253,75000000,United Artists
10661,90000000,Columbia Pictures
257344,88000000,Columbia Pictures
644,100000000,DreamWorks SKG
10756,90000000,Walt Disney Pictures
686,90000000,Warner Bros.
9383,95000000,Columbia Pictures Corporation
179,80000000,Universal Pictures
76285,90000000,1492 Pictures
1996,95000000,Paramount Pictures
291805,90000000,Summit Entertainment
10003,68000000,Paramount Pictures
1535,92000000,Universal Pictures
2067,90000000,Spyglass Entertainment
46195,90000000,Blue Sky Studios
2277,100000000,Laurence Mark Productions
10357,90000000,Twentieth Century Fox Film Corporation
4477,90000000,Columbia Pictures
8665,100000000,Paramount Pictures
9387,20000000,Universal Pictures
921,88000000,Miramax Films
49852,90000000,Vnesheconombank
4464,87000000,Universal Pictures
664,92000000,Universal Pictures
8358,90000000,DreamWorks SKG
9836,100000000,Kennedy Miller Productions
2502,75000000,Universal Pictures
9772,85000000,Columbia Pictures Corporation
161,85000000,Village Roadshow Pictures
52451,75000000,Impact Pictures
76492,85000000,Columbia Pictures
4523,85000000,Walt Disney Pictures
59961,85000000,Universal Pictures
10481,85000000,Walt Disney Pictures
59108,75000000,Universal Pictures
1581,85000000,Columbia Pictures
9798,90000000,Jerry Bruckheimer Films
22897,85000000,Universal Pictures
298,85000000,Village Roadshow Pictures
7484,85000000,Sony Pictures Animation
157350,85000000,Summit Entertainment
853,68000000,Paramount Pictures
10159,85000000,Columbia Pictures
9593,85000000,Columbia Pictures Corporation
1904,85000000,DreamWorks SKG
9615,85000000,Universal Pictures
297,90000000,Universal Pictures
9884,85000000,David Foster Productions
62764,85000000,Relativity Media
22538,60000000,Universal Pictures
9341,60000000,Paramount Pictures
12107,84000000,Imagine Entertainment
9637,84000000,Atlas Entertainment
49049,50000000,DNA Films
9339,82500000,Original Film
16281,8000000,Warner Bros.
39691,85000000,Village Roadshow Pictures
8247,85000000,Dune Entertainment
11253,85000000,Universal Pictures
1949,65000000,Paramount Pictures
8452,82000000,Phoenix Pictures
310,80000000,Universal Pictures
27578,80000000,Millennium Films
954,80000000,Paramount Pictures
70160,75000000,Lionsgate
45243,80000000,Legendary Pictures
364,80000000,PolyGram Filmed Entertainment
7518,80000000,Pacific Data Images (PDI)
11544,80000000,Walt Disney Pictures
9986,85000000,Paramount Pictures
8656,75000000,Paramount Pictures
146216,84000000,DC Comics
9291,82000000,Paramount Pictures
55301,75000000,Fox 2000 Pictures
109418,80000000,Columbia Pictures
11665,80000000,Village Roadshow Pictures
6964,80000000,Columbia Pictures Corporation
11324,80000000,Paramount Pictures
12193,80000000,New Line Cinema
9928,75000000,Blue Sky Studios
754,80000000,Paramount Pictures
10202,80000000,Walt Disney Pictures
4147,80000000,DreamWorks SKG
50546,80000000,Columbia Pictures
1701,75000000,Jerry Bruckheimer Films
13027,80000000,DreamWorks SKG
2289,79000000,Miramax Films
20504,80000000,Alcon Entertainment
9574,80000000,Walt Disney Pictures
11618,80000000,DreamWorks
2300,80000000,Warner Bros. Family Entertainment
10200,80000000,Twentieth Century Fox Film Corporation
8834,75000000,Silver Pictures
228150,68000000,Columbia Pictures
6068,70000000,Caravan Pictures
41515,80000000,De Line Pictures
9023,80000000,DreamWorks SKG
38317,80000000,Columbia Pictures
2157,80000000,New Line Cinema
14462,80000000,Paramount Pictures
159824,80000000,Columbia Pictures
49948,80000000,Walt Disney Pictures
2135,80000000,DreamWorks SKG
9822,90000000,Walt Disney Pictures
9705,102000000,Village Roadshow Pictures
1656,75000000,Amblin Entertainment
12159,85000000,PolyGram Filmed Entertainment
9678,85000000,New Line Cinema
4442,88000000,The Weinstein Company
75,70000000,Tim Burton Productions
19959,80000000,Touchstone Pictures
11973,80000000,New Line Cinema
11228,80000000,Universal Pictures
77951,80000000,BBC Worldwide
5491,44000000,Franchise Pictures
10715,80000000,Lonely Film Productions GmbH & Co. KG.
10197,80000000,The Weinstein Company
9562,80000000,Paramount Pictures
9922,80000000,Tig Productions
9447,90000000,Kennedy Miller Productions
274854,90000000,Summit Entertainment
8870,80000000,Village Roadshow Pictures
9992,86000000,Canal Plus
10077,80000000,private
76649,130000000,Impact Pictures
293644,8000000,Anima Estudios
453,60000000,Imagine Entertainment
8587,45000000,Walt Disney Pictures
72545,79000000,New Line Cinema
109451,78000000,Columbia Pictures
9533,78000000,Universal Pictures
2023,100000000,Casey Silver Productions
71880,79000000,Columbia Pictures
584,76000000,Mikona Productions GmbH & Co. KG
309809,64000000,Onyx Films
4858,80000000,Village Roadshow Pictures
17711,76000000,Universal Pictures
328111,75000000,Universal Pictures
8698,78000000,Twentieth Century Fox Film Corporation
93456,76000000,Universal Pictures
602,75000000,Twentieth Century Fox Film Corporation
330,73000000,Universal Pictures
953,75000000,DreamWorks SKG
9693,76000000,Universal Pictures
36657,75000000,Twentieth Century Fox Film Corporation
8909,75000000,Universal Pictures
9802,75000000,Hollywood Pictures
950,80000000,Blue Sky Studios
1824,75000000,Columbia Pictures Corporation
2976,50000000,New Line Cinema
11026,80000000,Morgan Creek Productions
332,75000000,Walt Disney Pictures
75656,75000000,Summit Entertainment
38365,80000000,Columbia Pictures
594,60000000,DreamWorks SKG
15189,35000000,DreamWorks SKG
11678,75000000,Columbia Pictures Corporation
6538,75000000,Universal Pictures
10555,75000000,DreamWorks SKG
1125,70000000,Paramount Pictures
4551,53000000,Double Feature Films
612,70000000,DreamWorks SKG
9567,70000000,Columbia Pictures
37821,75000000,Katalyst Films
203801,75000000,Davis Entertainment
2539,80000000,Gracie Films
9297,75000000,Columbia Pictures
3172,75000000,Cheyenne Enterprises
6520,55000000,Columbia Pictures Corporation
1439,75000000,Fox 2000 Pictures
37958,75000000,Virgin Produced
2026,52000000,Miramax Films
7450,75000000,Twentieth Century Fox Film Corporation
11375,75000000,Columbia Pictures
9425,75000000,Impact Pictures
23685,75000000,Twentieth Century Fox Film Corporation
11866,45000000,Twentieth Century Fox Film Corporation
9741,75000000,Limited Edition Productions Inc.
211672,74000000,Universal Pictures
23629,82000000,Legendary Pictures
8688,73000000,Paramount Pictures
10153,75000000,Punch Productions
153518,73000000,Columbia Pictures
8676,70000000,De Line Pictures
20829,75000000,Columbia Pictures
4349,70000000,Universal Pictures
9718,72500000,Columbia Pictures
10808,70000000,Twentieth Century Fox Film Corporation
197,72000000,Icon Entertainment International
25,72000000,Universal Pictures
35,75000000,Gracie Films
11086,72000000,Village Roadshow Pictures
10477,94000000,Epsilon Motion Pictures
1997,74500000,Path\u00e9 Renn Productions
6947,60000000,Scott Rudin Productions
3050,71000000,Twentieth Century Fox Film Corporation
2675,72000000,Kennedy/Marshall Company
809,150000000,DreamWorks SKG
920,120000000,Walt Disney Pictures
4806,70000000,Paramount Pictures
7451,70000000,Columbia Pictures
228165,74000000,Paramount Pictures
3595,80000000,Touchstone Pictures
16869,70000000,Universal Pictures
879,70000000,Amblin Entertainment
1573,70000000,Twentieth Century Fox Film Corporation
9257,80000000,Original Film
1903,68000000,Paramount Pictures
9697,75000000,Legendary Pictures
395,70000000,Impact Pictures
23398,75000000,Regency Enterprises
10590,75000000,Icon Entertainment International
117263,70000000,Nu Image Films
200,70000000,Paramount Pictures
44943,70000000,Columbia Pictures
587,70000000,Columbia Pictures
57212,66000000,DreamWorks SKG
152760,70000000,Columbia Pictures
2756,70000000,Twentieth Century Fox Film Corporation
33909,70000000,Twentieth Century Fox Film Corporation
49017,70000000,Universal Pictures
9882,70000000,Twentieth Century Fox Film Corporation
2270,70000000,Paramount Pictures
978,70000000,TriStar Pictures
44564,70000000,Imagine Entertainment
3132,70000000,Jerry Bruckheimer Films
8814,60000000,Di Bonaventura Pictures
8427,70000000,Columbia Pictures Corporation
52520,70000000,Lakeshore Entertainment
80585,75000000,New Line Cinema
10592,70000000,David Foster Productions
49021,66000000,Current Entertainment
10550,70000000,Epsilon Motion Pictures
11258,70000000,Paramount Pictures
12610,75000000,Conundrum Entertainment
59981,70000000,Prana Animation Studios
201088,70000000,Universal Pictures
5137,70000000,Paramount Pictures
3093,70000000,Intermedia Films
107846,50000000,Summit Entertainment
188207,70000000,Millennium Films
4614,68000000,Paramount Pictures
24021,68000000,Summit Entertainment
11371,68000000,Paramount Pictures
20352,69000000,Universal Pictures
11517,60000000,Columbia Pictures
214756,68000000,Universal Pictures
26428,70000000,Himen\u00f3ptero
9824,68000000,Universal Pictures
48988,36000000,New Line Cinema
9008,90000000,Spyglass Entertainment
300673,80000000,Walt Disney Pictures
12113,70000000,Scott Free Productions
38778,69000000,Paramount Pictures
72331,69000000,Twentieth Century Fox Film Corporation
1844,66000000,Fountainbridge Films
846,66000000,Twentieth Century Fox Film Corporation
9703,67000000,Ingenious Film Partners
857,70000000,Paramount Pictures
136797,66000000,DreamWorks SKG
3981,70000000,Paramount Pictures
425,59000000,Twentieth Century Fox Film Corporation
6171,68000000,Village Roadshow Pictures
72976,65000000,DreamWorks
603,63000000,Village Roadshow Pictures
568,52000000,Imagine Entertainment
9021,65000000,Walt Disney Pictures
82695,61000000,Universal Pictures
9489,65000000,Warner Bros.
12133,65000000,Columbia Pictures
9342,95000000,Amblin Entertainment
41733,65000000,Legendary Pictures
227306,65000000,Legendary Pictures
5551,65000000,Village Roadshow Pictures
9350,70000000,TriStar Pictures
9208,50000000,Twentieth Century Fox Film Corporation
4244,65000000,Walt Disney Pictures
1852,63000000,Paramount Pictures
11820,65000000,Columbia Pictures
76493,65000000,Paramount Pictures
345,65000000,Hobby Films
196867,65000000,Columbia Pictures
256591,50100000,Kramer & Sigman Films
59962,65000000,Dune Entertainment
36648,65000000,New Line Cinema
1880,4200000,United Artists
9440,65000000,Universal Pictures
71679,65000000,Davis-Films
10483,45000000,Universal Pictures
11412,65000000,New Line Cinema
11983,65000000,Castle Rock Entertainment
6795,65000000,Columbia Pictures Corporation
550,63000000,Regency Enterprises
11170,65000000,Legendary Pictures
9292,65000000,TriStar Pictures
10783,65000000,Paramount Pictures
100241,65000000,Lakeshore Entertainment
257,50000000,R.P. Productions
9947,43000000,Twentieth Century Fox Film Corporation
189,65000000,Miramax Films
12618,64000000,Columbia Pictures
253412,55000000,Universal Pictures
1427,50000000,Davis-Films
818,63000000,New Line Cinema
16577,65000000,The Weinstein Company
329,63000000,Universal Pictures
12160,63000000,Tig Productions
9331,62000000,Paramount Pictures
300168,65000000,Shanghai Film Group
9072,64000000,Revolution Studios
3536,62000000,Universal Pictures
9087,62000000,Columbia Pictures
12177,62000000,Paramount Pictures
12138,62000000,Franchise Pictures
273248,44000000,Double Feature Films
9955,53000000,DreamWorks
50359,63000000,Universal Pictures
1271,65000000,Virtual Studios
693,80000000,DreamWorks SKG
14306,60000000,Sunswept Entertainment
497,60000000,Castle Rock Entertainment
9982,150000000,Walt Disney Pictures
210577,61000000,Twentieth Century Fox Film Corporation
2501,60000000,Universal Pictures
710,58000000,United Artists
2275,60000000,Paramount Pictures
37165,60000000,Paramount Pictures
9837,70000000,DreamWorks SKG
10708,60000000,Columbia Pictures
136400,61000000,Universal Studios
10992,60000000,Village Roadshow Pictures
9654,60000000,De Line Pictures
2642,60000000,Village Roadshow Pictures
8916,60000000,DreamWorks SKG
19899,70000000,Universal Pictures
2119,60000000,Paramount Pictures
9641,60000000,Twentieth Century Fox Film Corporation
294254,61000000,Gotham Group
38167,60000000,Columbia Pictures
5994,60000000,Universal Pictures
39514,58000000,DC Comics
9563,55000000,Donners' Company
547,60000000,Wildwood Enterprises
1538,65000000,Paramount Pictures
9334,60000000,Universal Pictures
11128,60000000,Casey Silver Productions
75780,60000000,Paramount Pictures
8914,60000000,Village Roadshow Pictures
13576,60000000,Columbia Pictures
39538,60000000,Double Feature Films
14836,60000000,Focus Features
8645,60000000,Spyglass Entertainment
9509,70000000,Regency Enterprises
10067,50000000,Walt Disney Pictures
9384,60000000,Weed Road Pictures
9279,60000000,Twentieth Century Fox Film Corporation
1487,66000000,Revolution Studios
9422,70000000,Paramount Pictures
77174,60000000,Focus Features
4824,60000000,Universal Pictures
9620,60000000,Paramount Pictures
9302,60000000,Cinergi Pictures Entertainment
10199,60000000,Larger Than Life Productions
3512,60000000,Regency Enterprises
137094,60000000,Paramount Pictures
274479,60000000,Fox 2000 Pictures
267860,60000000,Millennium Films
8078,70000000,Twentieth Century Fox Film Corporation
7485,61000000,Paramount Pictures
170687,60000000,Laika Entertainment
6435,75000000,Village Roadshow Pictures
137106,60000000,Village Roadshow Pictures
6278,60000000,The Zanuck Company
82682,60000000,Village Roadshow Pictures
17610,60000000,Columbia Pictures
22954,60000000,Spyglass Entertainment
16995,60000000,Universal Pictures
16558,78146652,Universal Pictures
9849,65000000,Walt Disney Pictures
5820,60000000,Twentieth Century Fox Film Corporation
16866,70000000,TriStar Pictures
201,60000000,Paramount Pictures
11775,60000000,Imagine Entertainment
12201,80000000,Icon Productions
11015,60000000,Paramount Pictures
9932,60000000,Village Roadshow Pictures
13389,60000000,Grosvenor Park Media Ltd.
8838,60000000,Imagine Entertainment
17332,60000000,DreamWorks
4958,80000000,DreamWorks SKG
786,60000000,Columbia Pictures
11679,60000000,Original Film
38321,60000000,Screen Gems
14411,60000000,DreamWorks Animation
8413,60000000,Paramount Pictures
10052,60000000,Universal Pictures
9676,50000000,Universal Pictures
9664,60000000,Ingenious Film Partners
2100,72000000,DreamWorks SKG
10384,90000000,United Artists
137321,60000000,Village Roadshow Pictures
123553,60000000,Constantin Film Produktion
11260,60000000,Twentieth Century Fox Film Corporation
9009,30000000,Vertigo Entertainment
11374,80000000,Imagine Entertainment
2309,60000000,New Line Cinema
8285,60000000,DC Comics
210860,60000000,Lionsgate
2312,60000000,Boll Kino Beteiligungs GmbH & Co. KG
9839,35000000,Mandalay Pictures
381902,68490000,Filmko Pictures
13922,80000000,Lawrence Bender Productions
293660,58000000,Twentieth Century Fox Film Corporation
9713,60000000,Caravan Pictures
190859,58800000,Village Roadshow Pictures
257445,58000000,Columbia Pictures
9007,58000000,DreamWorks SKG
889,83000000,Universal Pictures
1370,63000000,TriStar Pictures
4942,58000000,Universal Pictures
347969,60000000,Happy Madison Productions
24438,58000000,Columbia Pictures
116741,58000000,Twentieth Century Fox Film Corporation
35791,60000000,Impact Pictures
72431,58000000,Lucasfilm
1813,57000000,Regency Enterprises
87428,70000000,Columbia Pictures
8840,57000000,Universal Pictures
10589,60000000,New Line Cinema
71676,57000000,Columbia Pictures
1722,57000000,Miramax Films
10022,56000000,Walt Disney Pictures
11358,56000000,Metro-Goldwyn-Mayer (MGM)
13,55000000,Paramount Pictures
6477,60000000,Dune Entertainment
1597,55000000,DreamWorks SKG
10530,55000000,Walt Disney Pictures
1924,55000000,Warner Bros.
9327,54000000,Imagine Entertainment
8488,70000000,Columbia Pictures Corporation
10603,55000000,Walt Disney Pictures
8273,55000000,Universal Pictures
109424,55000000,Columbia Pictures
35056,55000000,Twentieth Century Fox Film Corporation
8839,50000000,Universal Pictures
156022,55000000,Columbia Pictures
7303,55000000,Red Om Films
8963,53000000,Hollywood Pictures
1402,55000000,Columbia Pictures Corporation
9315,55000000,Imagine Entertainment
8984,55000000,Warner Bros.
795,55000000,Atlas Entertainment
24,30000000,Miramax Films
11353,55000000,Universal Pictures
393,30000000,Miramax Films
9618,55000000,Warner Bros.
9374,55000000,Universal Pictures
8584,55000000,Spyglass Entertainment
2320,55000000,Silver Pictures
58224,55000000,Twentieth Century Fox Film Corporation
1729,55000000,Casey Silver Productions
175574,55000000,Reel FX Creative Studios
8077,50000000,Twentieth Century Fox Film Corporation
8818,55000000,Hollywood Pictures
8195,55000000,United Artists
10586,50000000,Constellation Films
116149,55000000,The Weinstein Company
80035,68000000,Ingenious Film Partners
10632,55000000,Lakeshore Entertainment
12117,80000000,Spyglass Entertainment
1792,55000000,Twentieth Century Fox Film Corporation
72197,60000000,Columbia Pictures
3580,55000000,Imagine Entertainment
12123,50000000,Twentieth Century Fox Film Corporation
9566,55000000,TriStar Pictures
